Strain_name,Publication_name,Other_name,Loci_count,Loci_missing,Lineage,Mating_type,Continent,Country,Province_State,Year_collected,Host_type,Host_genus,Host_genus_species,Source_publication,accession_WGS_SRA,accession_avh120,accession_avh121,accession_btub,accession_gweuk,accession_hsp90,accession_trp1
pr06_31651,06_31651,,6,,NA2,A2,North America,Canada,"Canada: BC, Metro Vancouver",2006,shrub,Gaultheria sp.,Gaultheria sp.,Hamelin2022,SRR17285101,,,,,,
pr06_38025,06_38025,,6,,NA2,A2,North America,Canada,"Canada: BC, Sunshine Coast",2006,unknown,unknown,unknown,Hamelin2022,SRR17285100,,,,,,
pr06_4966,06_4966,,6,,NA2,A2,North America,Canada,"Canada: BC, Metro Vancouver",2006,shrub,Distyllium sp.,Distylium myricoides,Hamelin2022,SRR17285145,,,,,,
pr06_7401,06_7401,,6,,NA2,A2,North America,Canada,"Canada: BC, Metro Vancouver",2006,shrub,Viburnum sp. ,Viburnum x bodnantense,Hamelin2022,SRR17285144,,,,,,
pr06_7425,06_7425,,6,,NA2,A2,North America,Canada,"Canada: BC, Metro Vancouver",2006,shrub,Viburnum sp. ,Viburnum x bodnantense,Hamelin2022,SRR17285142,,,,,,
pr06_7608,06_7608,,6,,NA2,A2,North America,Canada,"Canada: BC, Metro Vancouver",2006,shrub,Viburnum sp. ,Viburnum x bodnantense,Hamelin2022,SRR17285141,,,,,,
pr06_7616,06_7616,,6,,NA2,A2,North America,Canada,"Canada: BC, Metro Vancouver",2006,shrub,Viburnum sp. ,Viburnum x bodnantense,Hamelin2022,SRR17285140,,,,,,
pr07_00005,07_00005,,6,,NA2,A2,North America,Canada,"Canada: BC, Metro Vancouver",2007,unknown,unknown,unknown,Hamelin2022,SRR17285139,,,,,,
pr07_10199,07_10199,,6,,NA2,A2,North America,Canada,"Canada: BC, Metro Vancouver",2007,shrub,Pieris sp.,Pieris sp.,Hamelin2022,SRR17285137,,,,,,
pr07_17197,07_17197,,6,,NA2,A2,North America,Canada,"Canada: BC, Metro Vancouver",2007,shrub,Gaultheria sp.,Gaultheria sp.,Hamelin2022,SRR17285136,,,,,,
pr07_17206,07_17206,,6,,NA2,A2,North America,Canada,"Canada: BC, Metro Vancouver",2007,shrub,Gaultheria sp.,Gaultheria sp.,Hamelin2022,SRR17285134,,,,,,
pr08_3469,08_3469,,6,,EU1,A1,North America,Canada,"Canada: BC, Fraser Valley",2008,shrub,Viburnum sp. ,Viburnum x bodnantense,Hamelin2022,SRR17285133,,,,,,
Pr102,Pr102,,5,avh121,NA1,A2,North America,United States,USA: CA,2001,broadleaf tree,Quercus sp.,Quercus,Hamelin2022,SRR9883238,,,,,,
pr11_0795,11_0795,,6,,NA2,A2,North America,Canada,"Canada: BC, Metro Vancouver",2011,shrub,Rhododendron sp.,Rhododendron sp.,Hamelin2022,SRR17285132,,,,,,
pr13_0781,13_0781,,6,,NA2,A2,North America,Canada,"Canada: BC, Metro Vancouver",2013,shrub,Rhododendron sp.,Rhododendron sp.,Hamelin2022,SRR17285131,,,,,,
pr14_0064,14_0064,,6,,NA2,A2,North America,Canada,"Canada: BC, Metro Vancouver",2014,shrub,Rhododendron sp.,Rhododendron sp.,Hamelin2022,SRR17285130,,,,,,
pr14_1270,14_1270,,6,,EU1,A1,North America,Canada,"Canada: BC, Metro Vancouver",2014,shrub,Rhododendron sp.,Rhododendron sp.,Hamelin2022,SRR17285128,,,,,,
pr14_1320,14_1320,,6,,EU1,A1,North America,Canada,"Canada: BC, Metro Vancouver",2014,shrub,Rhododendron sp.,Rhododendron sp.,Hamelin2022,SRR17285127,,,,,,
pr14_1613,14_1613,,6,,NA2,A2,North America,Canada,"Canada: BC, Metro Vancouver",2014,shrub,Rhododendron sp.,Rhododendron sp.,Hamelin2022,SRR17285126,,,,,,
pr15_0061,15_0061,,6,,NA2,A2,North America,Canada,"Canada: BC, Metro Vancouver",2015,shrub,Rhododendron sp.,Rhododendron sp.,Hamelin2022,SRR17285125,,,,,,
pr15_0127,15_0127,,6,,EU1,A1,North America,Canada,"Canada: BC, Fraser Valley",2015,shrub,Rhododendron sp.,Rhododendron sp.,Hamelin2022,SRR17285123,,,,,,
pr15_0242,15_0242,,6,,EU1,A1,North America,Canada,"Canada: BC, Metro Vancouver",2015,shrub,Viburnum sp.,Viburnum tinus,Hamelin2022,SRR17285122,,,,,,
pr15_0413,15_0413,,6,,EU1,A1,North America,Canada,"Canada: BC, Metro Vancouver",2015,shrub,Viburnum sp. ,Viburnum davidii,Hamelin2022,SRR17285121,,,,,,
pr15_0674,15_0674,,6,,EU1,A1,North America,Canada,"Canada: BC, Metro Vancouver",2015,shrub,Rhododendron sp.,Rhododendron sp.,Hamelin2022,SRR17285119,,,,,,
pr15_0954,15_0954,,6,,NA2,A2,North America,Canada,"Canada: BC, Metro Vancouver",2015,shrub,Rhododendron sp.,Rhododendron sp.,Hamelin2022,SRR17285118,,,,,,
