Strain_name,Other_name,Phylum,Class,Order,Family,Genus,LociCount,Lineage,Continent,Country,Region,YearCollected,HostDetailed,HostGeneral,HostType,SourcePub,accession_WGS_SRA,accession_avh120,accession_avh121,accession_btub,accession_gweuk,accession_hsp90,accession_trp1
IRE_14,"PF14-040, P14/M/200503",Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,5,EU1,Europe,Ireland,Ireland,2014,Larix sp. ,Larix sp.,conifer tree,,,,,,,,
IRE_27,"PF14-185, P14/DOL/141001A",Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,4,EU1,Europe,Ireland,Ireland,2014,Larix sp. ,Larix sp.,conifer tree,,,,,,,,
IRE_28,"PF14-190, p14/cr/301002",Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,5,EU1,Europe,Ireland,Ireland,2014,Larix sp. ,Larix sp.,conifer tree,,,,,,,,
IRE_9,"PF13-055, P13/DOL/170701 B",Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,4,EU1,Europe,Ireland,Ireland,2013,Larix sp. ,Larix sp.,conifer tree,,,,,,,,
IRE_97,"PR10-764, P10/DOL/091105",Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,5,EU1,Europe,Ireland,Ireland,2010,Larix sp. ,Larix sp. ,conifer tree,,,,,,,,
IRE_100,"PR11-005, P10/DOL/141205",Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,5,EU1,Europe,Ireland,Ireland,2010,Rhododendron sp.,Rhododendron sp.,shrub,,,,,,,,
IRE_105,"PR11-483, P11/DOL/140704",Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,5,EU1,Europe,Ireland,Ireland,2011,Rhododendron sp.,Rhododendron sp.,shrub,,,,,,,,
IRE_63,"PR05-04, BL2005/155",Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,5,EU1,Europe,Ireland,Ireland,2005,Rhododendron sp.,Rhododendron sp.,shrub,,,,,,,,
IRE_65,"PR06-174, JC036",Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,5,EU1,Europe,Ireland,Ireland,2006,Rhododendron sp.,Rhododendron sp.,shrub,,,,,,,,
IRE_67,"PR06-256, P06/23/cof/10",Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,5,EU1,Europe,Ireland,Ireland,2006,Rhododendron sp.,Rhododendron sp.,shrub,,,,,,,,
IRE_71,"PR06-748, WL019",Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,5,EU1,Europe,Ireland,Ireland,2006,Rhododendron sp.,Rhododendron sp.,shrub,,,,,,,,
IRE_76,"PR07-212, CN03WH",Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,4,EU1,Europe,Ireland,Ireland,2007,Rhododendron sp.,Rhododendron sp.,shrub,,,,,,,,
IRE_78,"PR08 -0103, DF019PR",Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,5,EU1,Europe,Ireland,Ireland,2008,Rhododendron sp.,Rhododendron sp.,shrub,,,,,,,,
IRE_80,"PR09-0573, DF PR 015",Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,5,EU1,Europe,Ireland,Ireland,2009,Rhododendron sp.,Rhododendron sp.,shrub,,,,,,,,
IRE_75,"PR07-069, IB114PR",Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,5,EU1,Europe,Ireland,Ireland,2007,Viburnum sp.,Viburnum sp.,shrub,,,,,,,,
IRE_77,"PR07-345, IB042",Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,5,EU1,Europe,Ireland,Ireland,2007,Viburnum sp.,Viburnum sp.,shrub,,,,,,,,
Pram_PD_98_8_6743_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,Netherlands,Netherlands,1998,Rhododendron sp.,Rhododendron sp.,shrub,Feau2019,SRR8327111,,,,,,
Pram_P1856_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom,2004,Acer platanoides,Acer sp.,broadleaf tree,Feau2019,SRR8327017,,,,,,
Pram_P1549_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom,2003,Fagus sylvatica,Fagus sp.,broadleaf tree,Feau2019,SRR8327041,,,,,,
Pram_P1898_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom,2005,Fagus sylvatica,Fagus sp.,broadleaf tree,Feau2019,SRR8327018,,,,,,
Pram_P1614_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom,2004,Nothofagus sp.,Nothofagus sp.,broadleaf tree,Feau2019,SRR8327016,,,,,,
Pram_P1562_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom,2003,Quercus cerris,Quercus sp.,broadleaf tree,Feau2019,SRR8327014,,,,,,
Pram_P1959_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom,2005,Quercus cerris,Quercus sp.,broadleaf tree,Feau2019,SRR8327019,,,,,,
IRE_133,"PR12X-019, 61/12",Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,4,EU1,Europe,United Kingdom,United Kingdom: Northern Ireland,2012,Abies sp.,Abies sp.,conifer tree,,,,,,,,
Pram_P2599_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom,2011,Larix kaempferi,Larix sp.,conifer tree,Feau2019,SRR8327021,,,,,,
Pram_P2600_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom,2011,Larix kaempferi,Larix sp.,conifer tree,Feau2019,SRR8327012,,,,,,
Pram_P2633_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom,2009,Larix kaempferi,Larix sp.,conifer tree,Feau2019,SRR8327013,,,,,,
Pram_P2673_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom,2009,Larix kaempferi,Larix sp.,conifer tree,Feau2019,SRR8327117,,,,,,
Pram_P2677_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom,2009,Larix kaempferi,Larix sp.,conifer tree,Feau2019,SRR8327116,,,,,,
Pram_P2687_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom,2009,Larix kaempferi,Larix sp.,conifer tree,Feau2019,SRR8327115,,,,,,
Pram_P2688_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom,2009,Larix kaempferi,Larix sp.,conifer tree,Feau2019,SRR8327114,,,,,,
Pram_P2707_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom,2009,Larix kaempferi,Larix sp.,conifer tree,Feau2019,SRR8327113,,,,,,
Pram_P2738_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom,2009,Larix kaempferi,Larix sp.,conifer tree,Feau2019,SRR8327112,,,,,,
CC2184,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom: England,2004,Taxus sp.,Taxus sp.,conifer tree,Turner2017,SRX202257,,,,,,
CC12475,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom: England,2007,Soil,environmental,environmental,Turner2017,SRX202256,,,,,,
CC14654,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom: England,2009,Leaf detritus,Leaf detritus,environmental,Turner2017,SRX202259,,,,,,
CC2168,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom: England,2009,Camellia sp.,Camellia sp.,shrub,Turner2017,SRX2190143,,,,,,
Pram_P1563_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom,2003,Castanea sativa,Castanea sp.,shrub,Feau2019,SRR8327015,,,,,,
Pram_P2098_EU1,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom,2007,Cinnamomum camphora,Cinnamomum sp.,shrub,Feau2019,SRR8327020,,,,,,
CC2275,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom: England,2004,Laurus nobilis,Laurus sp.,shrub,Turner2017,SRX202258,,,,,,
CC2176,,Oomycota,Oomycetes,Peronosporales,Peronosporaceae,Phytophthora,6,EU1,Europe,United Kingdom,United Kingdom: England,2009,Pieris sp.,Pieris sp.,shrub,Turner2017,SRX2190144,,,,,,
